Observation,Team,Games,Minutes Played,FG%,Average Distance of FGA,2 Point FGA %,0-3 feet FGA %,3-10 feet FGA %,10-16 feet FGA %,16 feet and away FGA %,3point FGA %,2 Point FG %,0-3 feet FG %,3-10 feet FG %,10-16 feet FG %,16 feet and away FG %,3point FG %,% of 2point field goals assisted,%FG Dunk Attempts,Number of Throwdowns,% of 3point field goals assisted,3Point Attempts %  from Corner,3P%,Beyond Half Court,Beyond Half Court made
246,Houston Rockets*,82,19805,0.453,12.3,0.746,0.309,0.16,0.111,0.166,0.254,0.48,0.568,0.45,0.409,0.393,0.375,0.492,0.033,195,0.824,0.194,0.383,25,0
247,Indiana Pacers,82,19830,0.455,12.9,0.756,0.295,0.135,0.103,0.223,0.244,0.48,0.592,0.413,0.41,0.403,0.378,0.454,0.026,167,0.933,0.174,0.37,9,0
248,Los Angeles Clippers,82,19880,0.441,12.2,0.774,0.336,0.119,0.102,0.218,0.226,0.467,0.582,0.4,0.347,0.382,0.354,0.525,0.045,260,0.847,0.18,0.426,30,3
249,Los Angeles Lakers*,82,19780,0.474,11.9,0.783,0.32,0.148,0.119,0.196,0.217,0.505,0.616,0.44,0.443,0.41,0.361,0.522,0.068,442,0.854,0.274,0.366,14,0
250,Memphis Grizzlies,82,19805,0.454,11.4,0.825,0.332,0.164,0.102,0.227,0.175,0.474,0.573,0.405,0.398,0.414,0.36,0.433,0.07,406,0.892,0.252,0.394,13,0
251,Miami Heat*,82,19955,0.457,13.3,0.755,0.275,0.119,0.114,0.247,0.245,0.489,0.619,0.423,0.412,0.411,0.357,0.485,0.062,363,0.826,0.288,0.364,22,0
252,Milwaukee Bucks,82,19780,0.445,12.4,0.792,0.305,0.118,0.125,0.243,0.208,0.467,0.568,0.437,0.384,0.398,0.363,0.539,0.043,257,0.892,0.304,0.4,8,1
253,Minnesota Timberwolves,82,19805,0.441,11.9,0.773,0.332,0.137,0.107,0.196,0.227,0.467,0.571,0.4,0.365,0.395,0.353,0.491,0.031,186,0.875,0.292,0.411,18,0
254,New Jersey Nets,82,19830,0.448,12.8,0.735,0.33,0.088,0.102,0.215,0.265,0.473,0.578,0.416,0.375,0.383,0.376,0.478,0.051,304,0.842,0.307,0.451,9,0
255,New Orleans Hornets*,82,19755,0.457,12.8,0.76,0.276,0.134,0.137,0.213,0.24,0.487,0.613,0.451,0.387,0.41,0.364,0.471,0.056,325,0.899,0.33,0.414,9,0
256,New York Knicks,82,19805,0.445,12.8,0.678,0.349,0.091,0.084,0.154,0.322,0.486,0.576,0.412,0.364,0.391,0.36,0.447,0.037,235,0.843,0.239,0.382,19,0
257,Oklahoma City Thunder,82,19805,0.447,11,0.859,0.338,0.134,0.138,0.248,0.141,0.463,0.606,0.358,0.388,0.368,0.346,0.515,0.071,429,0.878,0.217,0.345,12,0
258,Orlando Magic*,82,19730,0.457,13.6,0.665,0.282,0.127,0.101,0.155,0.335,0.495,0.623,0.405,0.424,0.381,0.381,0.417,0.054,327,0.871,0.303,0.395,11,0
259,Philadelphia 76ers*,82,19755,0.459,10.8,0.836,0.382,0.112,0.138,0.204,0.164,0.486,0.598,0.385,0.397,0.394,0.318,0.516,0.074,458,0.809,0.285,0.348,14,1
260,Phoenix Suns,82,19755,0.504,10.9,0.784,0.363,0.164,0.1,0.158,0.216,0.537,0.665,0.442,0.387,0.437,0.383,0.52,0.078,471,0.796,0.297,0.394,18,0
261,Portland Trail Blazers*,82,19830,0.465,12.8,0.761,0.294,0.126,0.109,0.231,0.239,0.49,0.621,0.419,0.382,0.414,0.383,0.467,0.075,437,0.901,0.395,0.402,29,1
262,Sacramento Kings,82,19905,0.447,12.7,0.762,0.29,0.141,0.103,0.229,0.238,0.472,0.596,0.378,0.408,0.402,0.368,0.481,0.044,268,0.79,0.269,0.421,17,0
263,San Antonio Spurs*,82,19905,0.466,13.4,0.752,0.253,0.14,0.109,0.25,0.248,0.492,0.616,0.456,0.405,0.424,0.386,0.489,0.012,75,0.885,0.376,0.394,9,0
