AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS
24,30,12,18,0.4,4.2,0.7,1.4,0.524,0,0,0,0.6,0.9,0.692,0.5,0.6,1.2,0.1,0.1,0.1,0.2,0.1,0.3,0.5,2.1,-0.9,4.5
27,33,17,16,0.515,4.5,0.9,2.5,0.369,0.1,0.2,0.25,0.4,0.5,0.933,0.1,0.4,0.5,0.5,0.4,0,0,0.2,0.2,0.3,2.4,-1.3,3.5
25,8,3,5,0.375,4.4,0.8,1.5,0.5,0.1,0.1,1,0.6,0.8,0.833,0.5,0.6,1.1,0.1,0,0,0,0.1,0,0.5,2.3,-1,3.8
19,25,8,17,0.32,2.5,0.3,0.8,0.368,0.1,0.2,0.5,0.3,0.3,0.875,0.1,0.1,0.2,0.3,0.3,0,0,0.1,0.6,0.2,0.9,-1.8,1.3
33,25,16,9,0.64,1.5,0.2,0.3,0.5,0,0.1,0.333,0.1,0.2,0.75,0,0.2,0.2,0.1,0,0,0.1,0,0.2,0.1,0.5,0.2,1.1
23,2,1,1,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,-0.5,1.5
26,5,3,2,0.6,3.1,0.2,0.2,1,0,0,0,0,0,0,0.2,0.6,0.8,0.2,0.2,0.2,0,0,1,0,0.4,0.4,2.1
24,38,20,18,0.526,3.4,0.2,0.6,0.304,0,0.3,0.1,0.1,0.1,0.75,0.2,0.2,0.4,0.1,0.1,0.1,0,0,0.3,0.1,0.5,-0.4,1.2
38,44,23,21,0.523,4.4,1,2.2,0.429,0.3,0.9,0.333,0.6,0.6,0.962,0.1,0.8,1,0.4,0.1,0.1,0.1,0,0.5,0.6,2.8,2.3,5.1
28,17,5,12,0.294,2.3,0,0.4,0,0,0.1,0,0.2,0.3,0.8,0,0.4,0.4,0.3,0.2,0,0,0.1,0.4,0.2,0.2,-2.2,0.9
25,5,2,3,0.4,0.9,0,0,0,0,0,0,0,0.4,0,0,0.2,0.2,0,0,0,0,0,0.2,0.2,0,-1.4,0.2
24,26,13,13,0.5,2,0.2,0.4,0.4,0.1,0.2,0.333,0.1,0.1,1,0,0,0,0.1,0,0,0,0,0.1,0.1,0.5,0.8,0.6
26,33,30,3,0.909,4.2,0.6,1.5,0.429,0,0.4,0.077,0.5,0.7,0.682,0.5,1.3,1.8,0.8,0.3,0.1,0.2,0.1,0.6,0.8,1.8,3.5,5.9
30,39,21,18,0.538,3.8,0.3,0.5,0.611,0,0,0,0.6,1.1,0.512,0.4,1.1,1.5,0,0.1,0.1,0.2,0.1,0.3,0.7,1.1,0.6,3.7
24,19,13,6,0.684,0.6,0,0,0,0,0,0,0.2,0.2,1,0,0.1,0.1,0,0.1,0,0,0,0.1,0.1,0.2,-0.3,0.3
34,38,21,17,0.553,3.8,1.2,2.7,0.455,0,0.2,0,1.3,1.8,0.746,0.2,0.5,0.7,0.8,0.2,0.1,0.1,0.2,0.4,1.2,3.7,1.7,6.1
27,22,16,6,0.727,3.7,0.5,0.9,0.526,0.2,0.4,0.625,0,0.1,0,0.1,0.4,0.5,0,0,0.1,0,0.1,0.5,0.1,1.1,0.7,2.1
27,21,12,9,0.571,2.4,0.2,0.3,0.667,0,0,0,0.3,0.5,0.7,0.3,0.5,0.8,0.2,0,0.1,0.3,0,0.3,0.4,0.7,-0.1,3.2
22,31,13,18,0.419,4.3,0.7,2,0.355,0,0.2,0.143,0.5,0.6,0.737,0.3,0.5,0.8,0.7,0.5,0.3,0.1,0.3,0.4,0.5,1.9,-0.8,4.5
28,3,2,1,0.667,1.4,0,0.3,0,0,0.3,0,0,0,0,0.3,0.3,0.7,0,0.3,0,0,0,1,0,0,-1,0.5
27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,0,3,0,1.1,0,0,0,0,0,0,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0,0.3,-3.3,0.3
20,36,20,16,0.556,3.3,0.5,1.5,0.34,0.1,0.3,0.444,0.6,0.8,0.75,0.1,0.4,0.5,0.3,0.3,0.1,0.1,0.3,0.4,0.5,1.7,0.3,3.2
24,20,13,7,0.65,1.8,0.2,0.3,0.667,0,0.1,0,0.3,0.3,0.833,0.2,0.3,0.5,0,0.1,0,0.1,0,0.2,0.2,0.7,-0.4,1.4
