id,race,region,sex,degree,sibs,wrkstat,childs,hompop,earnrs,adults,educ,marital,happy,income,age,sei,maeduc,pasei,agekdbrn,paeduc,hapunhap,trust
568,1,4,2,1,5,1,4,5,1,1,9,5,3,10,36,56.6,9,37.3,19,5,2,2
571,1,4,2,2,8,3,0,3,3,2,14,1,2,12,28,37.7,16,62.2,0,14,0,0
572,1,4,2,3,7,5,2,2,2,2,16,1,2,12,64,53.7,16,-1,24,16,1,2
573,3,4,2,0,8,5,0,1,0,1,10,4,3,7,75,33.1,0,37.3,0,98,2,2
574,1,4,2,0,1,6,0,3,2,3,11,5,2,12,19,-1,16,-1,0,13,0,0
575,1,4,2,4,8,3,3,1,2,1,17,1,1,12,52,78.5,8,31.3,23,4,1,1
576,1,4,2,1,14,5,8,3,2,2,12,2,1,12,44,39.4,12,33.1,15,16,1,2
579,2,4,2,1,1,2,0,4,3,3,13,5,3,12,20,38.9,15,31.5,0,12,0,0
581,1,4,2,0,1,1,2,5,2,2,12,5,2,2,23,63.5,5,31.4,18,98,2,2
584,2,3,2,0,7,2,4,1,1,1,11,5,1,98,51,29.1,8,-1,16,97,1,2
587,1,3,2,4,5,3,2,4,2,2,18,1,2,12,35,85.1,12,37.8,31,12,2,1
589,1,3,2,4,6,5,4,1,0,1,19,2,2,12,70,85.1,12,54.2,24,12,0,0
590,1,3,2,1,2,2,3,4,5,4,12,1,1,12,47,33.1,12,38.1,20,10,1,1
591,1,3,2,1,4,2,1,2,2,2,12,1,2,98,23,33.1,12,27.7,21,12,2,2
594,1,3,2,1,2,2,4,1,1,1,13,3,2,12,69,33.1,97,-1,21,12,2,1
597,1,3,2,1,2,1,2,2,2,2,15,1,2,12,67,63.5,97,38.1,24,8,2,1
599,1,3,2,3,2,1,2,2,1,2,16,1,2,12,53,64.2,16,33.5,25,8,2,1
603,1,4,2,1,2,2,4,1,1,1,12,2,2,12,75,40.2,12,63.5,18,14,0,0
605,2,4,2,1,1,2,0,1,1,1,16,5,1,11,23,31.2,14,26.4,0,15,0,0
610,1,4,2,1,6,1,1,3,2,2,12,1,2,12,47,36.7,8,-1,36,97,0,0
611,1,4,2,1,2,1,2,3,3,3,12,1,2,12,41,63.5,14,37.7,19,14,2,2
613,1,4,2,1,1,5,1,2,1,2,13,2,3,9,59,32.4,13,63.5,22,12,0,0
616,1,4,2,1,4,7,3,2,1,2,12,2,2,12,74,36.5,9,37.3,19,10,2,1
